Gene,Gene name,tau,max_nTPM
ENSG00000165584,SSX3,0.9996666666666667,12.0
ENSG00000156194,PPEF2,0.9996653098145636,221.1
ENSG00000184999,SLC22A10,0.9996628029504743,94.9
ENSG00000180872,DEFB112,0.999655172413793,23.2
ENSG00000174876,AMY1B,0.9996527332498754,9825.3
ENSG00000130377,ACSBG2,0.9996523178807948,120.8
ENSG00000132703,APCS,0.9996512657107454,3389.4
ENSG00000106013,ANKRD7,0.9996465903434546,803.6
ENSG00000212725,KRTAP2-1,0.9996445880452342,61.9
ENSG00000269058,CALR3,0.9996445880452342,61.9
ENSG00000250803,ENSG00000250803,0.9996436285097192,185.2
ENSG00000134571,MYBPC3,0.9996435422984097,1615.9
ENSG00000187175,KRTAP12-1,0.9996428571428573,22.4
ENSG00000064835,POU1F1,0.9996389891696751,55.4
ENSG00000122787,AKR1D1,0.9996389167502508,398.8
ENSG00000107018,RLN1,0.9996363636363637,22.0
ENSG00000188782,CATSPER4,0.9996363636363637,11.0
ENSG00000214518,KRTAP2-2,0.9996356275303644,49.4
ENSG00000126545,CSN1S1,0.9996356024189796,1289.8
ENSG00000173699,SPATA3,0.9996340023612751,169.4
ENSG00000204511,MCCD1,0.9996339434276206,120.2
ENSG00000177558,FAM187B,0.9996319018404908,65.2
ENSG00000128617,OPN1SW,0.9996315789473685,38.0
ENSG00000171804,WDR87,0.999622641509434,15.9
ENSG00000244414,CFHR1,0.9996221545449854,1937.3
ENSG00000105675,ATP4A,0.9996180956042547,780.3
ENSG00000114204,SERPINI2,0.9996175108322127,1338.6
ENSG00000183607,GKN2,0.9996171171171171,4351.2
ENSG00000104499,GML,0.9996162280701755,182.4
ENSG00000188334,BSPH1,0.9996069748131746,361.3
ENSG00000248746,ACTN3,0.9996069673961588,1567.3
ENSG00000137090,DMRT1,0.9996031746031747,25.2
ENSG00000185974,GRK1,0.9995949367088608,39.5
ENSG00000151846,PABPC3,0.9995930232558139,34.4
ENSG00000120054,CPN1,0.9995901639344262,73.2
ENSG00000185198,PRSS57,0.9995894804361771,155.9
ENSG00000196748,CLPSL2,0.9995851615476664,501.4
ENSG00000175003,SLC22A1,0.9995803256672819,595.7
ENSG00000214686,IQCF6,0.9995798319327731,23.8
ENSG00000005381,MPO,0.999577781197107,3249.5
ENSG00000204414,CSHL1,0.9995753715498938,141.3
ENSG00000124196,GTSF1L,0.9995732574679943,210.9
ENSG00000109208,SMR3A,0.9995729537366549,56.2
ENSG00000168454,TXNDC2,0.9995714285714286,98.0
ENSG00000238074,TSPY9,0.9995714285714286,14.0
ENSG00000080618,CPB2,0.9995674740484429,1387.2
ENSG00000227234,SPANXB1,0.9995606936416185,86.5
ENSG00000212901,KRTAP3-1,0.9995604395604396,218.4
ENSG00000140505,CYP1A2,0.999556856187291,478.4
ENSG00000196565,HBG2,0.9995492660303527,9659.8
ENSG00000138115,CYP2C8,0.999549200675206,2014.2
ENSG00000244474,UGT1A4,0.9995486677542144,367.8
ENSG00000213417,KRTAP2-4,0.9995465994962217,39.7
ENSG00000175877,TMEM270,0.999544235924933,74.6
ENSG00000165076,PRSS37,0.9995384615384616,39.0
ENSG00000272804,KRTAP10-7,0.9995384615384615,13.0
ENSG00000168263,KCNV2,0.9995376584638329,268.2
ENSG00000186118,TEX38,0.9995335276967929,377.3
ENSG00000139053,PDE6H,0.9995332306598743,844.1
ENSG00000173728,C1orf100,0.999526066350711,21.1
ENSG00000171402,XAGE3,0.9995252722703155,358.1
ENSG00000167910,CYP7A1,0.999524838012959,46.3
ENSG00000175189,INHBC,0.9995071335927367,154.2
ENSG00000149516,MS4A3,0.999506421556283,397.1
ENSG00000206150,RNASE13,0.9995031055900623,289.8
